Found 786 mutants to test
ok       Unmutated baseline in 19s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:77:32: replace += with -= in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:77:32: replace += with *= in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:84:35: replace - with + in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:84:35: replace - with / in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:86:21: replace > with == in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:86:21: replace > with < in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:86:21: replace > with >= in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:88:28: replace < with == in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:88:28: replace < with > in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:88:28: replace < with <= in PortfolioRebalancer::rebalance in 0s build + 2s test
MISSED   crates/logos-core/src/experimental/portfolio_rebalancer.rs:89:66: delete - in PortfolioRebalancer::rebalance in 0s build + 2s test
